INDEX,TRACK ID,VALID,UTC DATE,UTC TIME,LOCAL DATE,LOCAL TIME,MS,LATITUDE,N/S,LONGITUDE,E/W,ALTITUDE,SPEED,HEADING,G-X,G-Y,G-Z
58,1,FIXED,2018/3/22,0:20:13,2018/3/21,21:20:13,200,26.316799,S,48.833201,W,18.684473,1.661918,262.513327,0.000000,0.000000,0.000000
59,1,FIXED,2018/3/22,0:20:18,2018/3/21,21:20:18,200,26.316820,S,48.833379,W,13.355790,1.476860,222.181195,0.000000,0.000000,0.000000
60,1,FIXED,2018/3/22,0:20:23,2018/3/21,21:20:23,200,26.316834,S,48.833393,W,15.512338,1.388749,254.176282,0.000000,0.000000,0.000000
61,1,FIXED,2018/3/22,0:20:28,2018/3/21,21:20:28,200,26.316852,S,48.833465,W,14.276152,1.968483,261.231048,0.000000,0.000000,0.000000
62,1,FIXED,2018/3/22,0:20:33,2018/3/21,21:20:33,200,26.316856,S,48.833492,W,14.007011,1.912497,295.419461,0.000000,0.000000,0.000000
63,1,FIXED,2018/3/22,0:20:38,2018/3/21,21:20:38,200,26.316843,S,48.833521,W,12.999144,1.088743,268.152543,0.000000,0.000000,0.000000
64,1,FIXED,2018/3/22,0:20:43,2018/3/21,21:20:43,200,26.316844,S,48.833539,W,11.697940,1.268862,75.157943,0.000000,0.000000,0.000000
65,1,FIXED,2018/3/22,0:20:48,2018/3/21,21:20:48,200,26.316826,S,48.833465,W,12.429993,1.027906,245.480669,0.000000,0.000000,0.000000
66,1,FIXED,2018/3/22,0:20:53,2018/3/21,21:20:53,200,26.316837,S,48.833491,W,11.217750,0.924636,276.333850,0.000000,0.000000,0.000000
67,1,FIXED,2018/3/22,0:20:58,2018/3/21,21:20:58,200,26.316833,S,48.833523,W,10.902118,1.180232,272.592940,0.000000,0.000000,0.000000
68,1,FIXED,2018/3/22,0:21:3,2018/3/21,21:21:3,200,26.316829,S,48.833641,W,9.875135,1.326761,276.014874,0.000000,0.000000,0.000000
69,1,FIXED,2018/3/22,0:21:8,2018/3/21,21:21:8,200,26.316820,S,48.833733,W,8.777036,0.367882,242.026728,0.000000,0.000000,0.000000
70,1,FIXED,2018/3/22,0:21:13,2018/3/21,21:21:13,200,26.316823,S,48.833740,W,8.548717,0.480174,228.003026,0.000000,0.000000,0.000000
71,1,FIXED,2018/3/22,0:21:18,2018/3/21,21:21:18,200,26.316826,S,48.833743,W,8.355918,0.069335,264.749174,0.000000,0.000000,0.000000
72,1,FIXED,2018/3/22,0:21:23,2018/3/21,21:21:23,200,26.316826,S,48.833746,W,8.159020,0.271338,279.231292,0.000000,0.000000,0.000000
